Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001047,E02006914,48,0,0,0,29,0,0,18,1,0,0,0,8484.1426599052,0.02263284308649413,0,0.025110410338319095,0,1,1,0.020833333333333332,8.4841426599052,8-9 km,8-10 km
E02001047,E02006915,28,0,0,1,1,0,0,22,1,2,1,0,5892.818649860655,0.02268958849900884,0.07142857142857142,0.035882257257834414,1.9906376267054924,1,3,0.10714285714285714,5.892818649860654,5-6 km,4-6 km
E02001047,E02006917,83,0,2,3,28,0,0,35,8,1,6,0,8726.007317607002,0.02489016680802121,0.012048192771084338,0.02198002087696256,0.5481429175398167,2,3,0.03614457831325301,8.726007317607001,8-9 km,8-10 km
E02001048,E02001041,19,0,5,0,0,1,0,11,1,0,1,0,2955.040203841042,0.02103595958608943,0,0.04990165963539643,0,1,1,0.05263157894736842,2.955040203841042,2-3 km,2-4 km
E02001048,E02001042,17,0,6,0,0,0,0,6,0,2,1,2,2666.4255375043986,0.01816319669760628,0.11764705882352941,0.055946692495008755,2.102842072996991,1,3,0.17647058823529413,2.6664255375043986,2-3 km,2-4 km
E02001048,E02001044,29,0,1,0,2,0,0,14,0,1,11,0,1932.040571257088,0.02037456327759409,0.034482758620689655,0.0501773136820833,0.6872181089479554,1,2,0.06896551724137931,1.932040571257088,1-2 km,0-2 km
E02001048,E02001045,41,0,0,0,5,3,0,21,1,1,10,0,1755.9946125062893,0.01772101585103524,0.024390243902439025,0.054386219670894034,0.4484636742548222,2,3,0.07317073170731707,1.7559946125062893,1-2 km,0-2 km
E02001048,E02001046,43,0,6,0,3,1,0,23,0,0,10,0,2234.747924820214,0.01783138742479318,0,0.056147129379746315,0,2,2,0.046511627906976744,2.234747924820214,2-3 km,2-4 km
E02001048,E02001047,16,0,0,0,5,1,0,9,1,0,0,0,3988.045895309792,0.0180259674023413,0,0.0531594413680744,0,1,1,0.0625,3.9880458953097917,3-4 km,2-4 km
E02001048,E02001048,75,0,5,0,8,1,0,35,2,2,22,0,0,0.02294319293095536,0.02666666666666667,0.012069764265004675,2.2093775885900735,1,3,0.04,0,NA,NA
